x,w_analytical,M_analytical
8.408408408408407642e-02,-9.549734956918244123e-04,-4.194509825140455632e+02
8.508508508508508261e-02,-9.771850623717869781e-04,-4.185346507668829759e+02
8.608608608608608881e-02,-9.996363666959591152e-04,-4.176193210227244208e+02
8.708708708708708113e-02,-1.022326884361389075e-03,-4.167049932815698980e+02
8.808808808808808732e-02,-1.045256091639075284e-03,-4.157916675434193507e+02
8.908908908908909352e-02,-1.068423465373965261e-03,-4.148793438082727221e+02
9.009009009009008584e-02,-1.091828482984955615e-03,-4.139680220761301825e+02
9.109109109109109204e-02,-1.115470622464893782e-03,-4.130577023469916753e+02
9.209209209209209823e-02,-1.139349362380575855e-03,-4.121483846208570867e+02
9.309309309309309055e-02,-1.163464181872747019e-03,-4.112400688977265304e+02
9.409409409409409675e-02,-1.187814560656103718e-03,-4.103327551776000064e+02
9.509509509509508907e-02,-1.212399979019290622e-03,-4.094264434604775147e+02
9.609609609609609526e-02,-1.237219917824902574e-03,-4.085211337463589985e+02
9.709709709709710146e-02,-1.262273858509483726e-03,-4.076168260352444577e+02
9.809809809809809378e-02,-1.287561283083527757e-03,-4.067135203271339492e+02
9.909909909909909997e-02,-1.313081674131478518e-03,-4.058112166220274162e+02
1.001001001001000923e-01,-1.338834514811728955e-03,-4.049099149199249155e+02
1.011011011011010985e-01,-1.364819288856621753e-03,-4.040096152208264471e+02
1.021021021021021047e-01,-1.391035480572448907e-03,-4.031103175247319541e+02
1.031031031031030970e-01,-1.417482574839452154e-03,-4.022120218316414935e+02
1.041041041041041032e-01,-1.444160057111823188e-03,-4.013147281415549514e+02
1.051051051051051094e-01,-1.471067413417703447e-03,-4.004184364544724986e+02
1.061061061061061017e-01,-1.498204130359182158e-03,-3.995231467703940211e+02
1.071071071071071079e-01,-1.525569695112301109e-03,-3.986288590893195192e+02
1.081081081081081141e-01,-1.553163595427049012e-03,-3.977355734112490495e+02
1.091091091091091064e-01,-1.580985319627365403e-03,-3.968432897361826122e+02
1.101101101101101126e-01,-1.609034356611139778e-03,-3.959520080641202071e+02
1.111111111111111049e-01,-1.637310195850209859e-03,-3.950617283950617775e+02
1.121121121121121111e-01,-1.665812327390364623e-03,-3.941724507290072665e+02
1.131131131131131173e-01,-1.694540241851341493e-03,-3.932841750659568447e+02
1.141141141141141097e-01,-1.723493430426826980e-03,-3.923969014059103984e+02
1.151151151151151159e-01,-1.752671384884459723e-03,-3.915106297488679843e+02
1.161161161161161082e-01,-1.782073597565824417e-03,-3.906253600948295457e+02
1.171171171171171144e-01,-1.811699561386458969e-03,-3.897410924437951394e+02
1.181181181181181206e-01,-1.841548769835846906e-03,-3.888578267957647654e+02
1.191191191191191129e-01,-1.871620716977425184e-03,-3.879755631507383669e+02
1.201201201201201191e-01,-1.901914897448578768e-03,-3.870943015087158869e+02
1.211211211211211253e-01,-1.932430806460641061e-03,-3.862140418696975530e+02
1.221221221221221176e-01,-1.963167939798896727e-03,-3.853347842336831377e+02
1.231231231231231238e-01,-1.994125793822579089e-03,-3.844565286006726978e+02
1.241241241241241300e-01,-2.025303865464871643e-03,-3.835792749706663471e+02
1.251251251251251362e-01,-2.056701652232907629e-03,-3.827030233436639719e+02
1.261261261261261146e-01,-2.088318652207767859e-03,-3.818277737196656290e+02
1.271271271271271208e-01,-2.120154364044486792e-03,-3.809535260986712615e+02
1.281281281281281270e-01,-2.152208286972043857e-03,-3.800802804806808695e+02
1.291291291291291332e-01,-2.184479920793371693e-03,-3.792080368656945097e+02
1.301301301301301394e-01,-2.216968765885350082e-03,-3.783367952537121255e+02
1.311311311311311179e-01,-2.249674323198809413e-03,-3.774665556447337735e+02
1.321321321321321240e-01,-2.282596094258530686e-03,-3.765973180387594539e+02
1.331331331331331302e-01,-2.315733581163243338e-03,-3.757290824357891665e+02
1.341341341341341364e-01,-2.349086286585625252e-03,-3.748618488358228547e+02
1.351351351351351426e-01,-2.382653713772306218e-03,-3.739956172388605182e+02
1.361361361361361211e-01,-2.416435366543863601e-03,-3.731303876449022141e+02
1.371371371371371273e-01,-2.450430749294827109e-03,-3.722661600539478286e+02
1.381381381381381335e-01,-2.484639366993672722e-03,-3.714029344659974754e+02
1.391391391391391397e-01,-2.519060725182828333e-03,-3.705407108810512113e+02
1.401401401401401459e-01,-2.553694329978670272e-03,-3.696794892991089228e+02
1.411411411411411521e-01,-2.588539688071525048e-03,-3.688192697201706096e+02
1.421421421421421305e-01,-2.623596306725667609e-03,-3.679600521442363288e+02
1.431431431431431367e-01,-2.658863693779324380e-03,-3.671018365713060803e+02
1.441441441441441429e-01,-2.694341357644670226e-03,-3.662446230013797503e+02
1.451451451451451491e-01,-2.730028807307830624e-03,-3.653884114344575096e+02
1.461461461461461553e-01,-2.765925552328878621e-03,-3.645332018705391874e+02
1.471471471471471337e-01,-2.802031102841837009e-03,-3.636789943096248976e+02
1.481481481481481399e-01,-2.838344969554682223e-03,-3.628257887517146969e+02
1.491491491491491461e-01,-2.874866663749335235e-03,-3.619735851968084148e+02
1.501501501501501523e-01,-2.911595697281668931e-03,-3.611223836449061650e+02
1.511511511511511585e-01,-2.948531582581506369e-03,-3.602721840960078907e+02
1.521521521521521647e-01,-2.985673832652618181e-03,-3.594229865501136487e+02
1.531531531531531432e-01,-3.023021961072726478e-03,-3.585747910072234390e+02
1.541541541541541493e-01,-3.060575481993501809e-03,-3.577275974673372048e+02
1.551551551551551555e-01,-3.098333910140565334e-03,-3.568814059304549460e+02
1.561561561561561617e-01,-3.136296760813486219e-03,-3.560362163965767763e+02
1.571571571571571679e-01,-3.174463549885785107e-03,-3.551920288657025822e+02
1.581581581581581464e-01,-3.212833793804930217e-03,-3.543488433378323634e+02
1.591591591591591526e-01,-3.251407009592342540e-03,-3.535066598129661770e+02
1.601601601601601588e-01,-3.290182714843389779e-03,-3.526654782911039092e+02
1.611611611611611650e-01,-3.329160427727389376e-03,-3.518252987722456737e+02
1.621621621621621712e-01,-3.368339666987608515e-03,-3.509861212563915274e+02
1.631631631631631496e-01,-3.407719951941265424e-03,-3.501479457435412996e+02
1.641641641641641558e-01,-3.447300802479527203e-03,-3.493107722336951610e+02
1.651651651651651620e-01,-3.487081739067509831e-03,-3.484746007268529979e+02
1.661661661661661682e-01,-3.527062282744279458e-03,-3.476394312230148103e+02
1.671671671671671744e-01,-3.567241955122851978e-03,-3.468052637221806549e+02
1.681681681681681528e-01,-3.607620278390191726e-03,-3.459720982243504750e+02
1.691691691691691590e-01,-3.648196775307215381e-03,-3.451399347295243274e+02
1.701701701701701652e-01,-3.688970969208786328e-03,-3.443087732377021553e+02
1.711711711711711714e-01,-3.729942384003718994e-03,-3.434786137488840154e+02
1.721721721721721776e-01,-3.771110544174775814e-03,-3.426494562630699079e+02
1.731731731731731838e-01,-3.812474974778671567e-03,-3.418213007802597758e+02
1.741741741741741623e-01,-3.854035201446066004e-03,-3.409941473004536192e+02
1.751751751751751685e-01,-3.895790750381575556e-03,-3.401679958236515517e+02
