x,w_analytical,M_analytical
3.503503503503503647e-02,-8.324885647643002562e-04,1.690379067756445153e+01
3.603603603603603572e-02,-8.561550784724206642e-04,1.736872007142277496e+01
3.703703703703703498e-02,-8.798116433861547740e-04,1.783264746227709452e+01
3.803803803803804118e-02,-9.034579937668422338e-04,1.829557285012740309e+01
3.903903903903904044e-02,-9.270938644497713496e-04,1.875749623497371132e+01
4.004004004004003969e-02,-9.507189908441807114e-04,1.921841761681601568e+01
4.104104104104103895e-02,-9.743331089332585423e-04,1.967833699565431260e+01
4.204204204204203821e-02,-9.979359552741420489e-04,2.013725437148860564e+01
4.304304304304304440e-02,-1.021527266997918721e-03,2.059516974431889125e+01
4.404404404404404366e-02,-1.045106781809625358e-03,2.105208311414517652e+01
4.504504504504504292e-02,-1.068674237988247958e-03,2.150799448096745436e+01
4.604604604604604912e-02,-1.092229374386723129e-03,2.196290384478572832e+01
4.704704704704704837e-02,-1.115771930431935701e-03,2.241681120559999485e+01
4.804804804804804763e-02,-1.139301646124721333e-03,2.286971656341025394e+01
4.904904904904904689e-02,-1.162818262039864558e-03,2.332161991821651270e+01
5.005005005005004615e-02,-1.186321519326099866e-03,2.377252127001876758e+01
5.105105105105105234e-02,-1.209811159706111056e-03,2.422242061881701858e+01
5.205205205205205160e-02,-1.233286925476531669e-03,2.467131796461125859e+01
5.305305305305305086e-02,-1.256748559507944556e-03,2.511921330740149116e+01
5.405405405405405705e-02,-1.280195805244882957e-03,2.556610664718773052e+01
5.505505505505505631e-02,-1.303628406705828772e-03,2.601199798396995888e+01
5.605605605605605557e-02,-1.327046108483213643e-03,2.645688731774817981e+01
5.705705705705705483e-02,-1.350448655743419603e-03,2.690077464852239686e+01
5.805805805805805409e-02,-1.373835794226777344e-03,2.734365997629260647e+01
5.905905905905906028e-02,-1.397207270247567950e-03,2.778554330105881576e+01
6.006006006006005954e-02,-1.420562830694021162e-03,2.822642462282102116e+01
6.106106106106105880e-02,-1.443902223028316898e-03,2.866630394157921913e+01
6.206206206206206499e-02,-1.467225195286585033e-03,2.910518125733340966e+01
6.306306306306305731e-02,-1.490531496078903667e-03,2.954305657008359276e+01
6.406406406406406351e-02,-1.513820874589302595e-03,2.997992987982978264e+01
6.506506506506506970e-02,-1.537093080575759182e-03,3.041580118657196152e+01
6.606606606606606202e-02,-1.560347864370200972e-03,3.085067049031012587e+01
6.706706706706706822e-02,-1.583584976878506766e-03,3.128453779104429699e+01
6.806806806806806054e-02,-1.606804169580501422e-03,3.171740308877445358e+01
6.906906906906906674e-02,-1.630005194529963878e-03,3.214926638350061694e+01
7.007007007007007293e-02,-1.653187804354618257e-03,3.258012767522276931e+01
7.107107107107106525e-02,-1.676351752256141029e-03,3.300998696394091780e+01
7.207207207207207145e-02,-1.699496792010158405e-03,3.343884424965506241e+01
7.307307307307307764e-02,-1.722622677966244168e-03,3.386669953236519603e+01
7.407407407407406996e-02,-1.745729165047923146e-03,3.429355281207133288e+01
7.507507507507507616e-02,-1.768816008752669691e-03,3.471940408877345874e+01
7.607607607607608236e-02,-1.791882965151907247e-03,3.514425336247158072e+01
7.707707707707707467e-02,-1.814929790891008999e-03,3.556810063316569881e+01
7.807807807807808087e-02,-1.837956243189298308e-03,3.599094590085581302e+01
7.907907907907907319e-02,-1.860962079840047193e-03,3.641278916554191625e+01
8.008008008008007939e-02,-1.883947059210478066e-03,3.683363042722402270e+01
8.108108108108108558e-02,-1.906910940241762428e-03,3.725346968590211816e+01
8.208208208208207790e-02,-1.929853482449021308e-03,3.767230694157620974e+01
8.308308308308308410e-02,-1.952774445921325692e-03,3.809014219424629744e+01
8.408408408408407642e-02,-1.975673591321696308e-03,3.850697544391238125e+01
